date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:19	102867/102867	---M--	200	added ('OK')	image/png	etag:%22191d3-56332fea72e76%22	https://sphereidentity.com/sites/default/files/inline-images/10-Infographic.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/10-Infographic.png	(from https://sphereidentity.com/)
08:43:19	841/841	---M--	200	added ('OK')	image/png	etag:%22349-56332febc3d2d%22	https://sphereidentity.com/sites/default/files/inline-images/11-Medium-Logo.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/11-Medium-Logo.png	(from https://sphereidentity.com/)
08:43:20	741/741	---M--	200	added ('OK')	image/png	etag:%222e5-56332fec804da%22	https://sphereidentity.com/sites/default/files/inline-images/12-LinkedIn-Logo.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/12-LinkedIn-Logo.png	(from https://sphereidentity.com/)
08:43:20	988/988	---M--	200	added ('OK')	image/png	etag:%223dc-56332fed533e9%22	https://sphereidentity.com/sites/default/files/inline-images/13-Twitter-Logo.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/13-Twitter-Logo.png	(from https://sphereidentity.com/)
08:43:20	21595/21595	---M-Z	200	added ('OK')	text/html	etag:%221525245724-gzip%22	https://sphereidentity.com/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/node/7.html	(from https://sphereidentity.com/)
08:43:21	16238/16238	---M-Z	200	added ('OK')	text/html	etag:%221525290840-gzip%22	https://sphereidentity.com/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/node/6.html	(from https://sphereidentity.com/)
08:43:21	2203/2203	---M--	200	added ('OK')	image/png	etag:%2289b-5632ccad6b6ca%22	https://sphereidentity.com/themes/Icu2/sphere/images/14-Sphere-Identity-Logo-Footer.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/themes/Icu2/sphere/images/14-Sphere-Identity-Logo-Footer.png	(from https://sphereidentity.com/)
08:43:22	1275/1275	---M--	200	added ('OK')	image/gif	etag:%224fb-5632ff9edbcda%22	https://sphereidentity.com/core/themes/stable/images/core/throbber-active.gif	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/throbber-active.gif	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:22	2112/2112	---M--	200	added ('OK')	image/gif	etag:%22840-5632ff99ef0a3%22	https://sphereidentity.com/core/themes/stable/images/core/loading-small.gif	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/loading-small.gif	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:22	272961/272961	---M-Z	200	added ('OK')	text/javascript	etag:%2212e51-5637c10d7f141%22	https://sphereidentity.com/sites/default/files/js/js_Aj5Rw0UnCltQ_0uLj97mvmNqKurHYcpG1R4Ur3IfBUw.js	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/js/js_Aj5Rw0UnCltQ_0uLj97mvmNqKurHYcpG1R4Ur3IfBUw.js	(from https://sphereidentity.com/)
08:43:22	356/356	---M--	200	added ('OK')	image/png	etag:%22164-5632ff9f926c7%22	https://sphereidentity.com/core/themes/stable/images/core/throbber-inactive.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/throbber-inactive.png	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:23	680/680	---M--	200	added ('OK')	image/svg+xml	etag:%222a8-56331dc188231%22	https://sphereidentity.com/core/themes/stable/images/core/icons/e32700/error.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/e32700/error.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:23	412/412	---M--	200	added ('OK')	image/svg+xml	etag:%2219c-56331dbf79c29%22	https://sphereidentity.com/core/themes/stable/images/core/icons/e29700/warning.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/e29700/warning.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:23	334/334	---M--	200	added ('OK')	image/svg+xml	etag:%2214e-56331d9f16973%22	https://sphereidentity.com/core/themes/stable/images/core/icons/73b355/check.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/73b355/check.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:24	582/582	---M--	200	added ('OK')	image/svg+xml	etag:%22246-56331da6d7fab%22	https://sphereidentity.com/core/themes/stable/images/core/icons/787878/move.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/787878/move.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:24	582/582	---M--	200	added ('OK')	image/svg+xml	etag:%22246-56331d851924f%22	https://sphereidentity.com/core/themes/stable/images/core/icons/000000/move.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/000000/move.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:24	221/221	---M--	200	added ('OK')	image/svg+xml	etag:%22dd-56331daf31b6e%22	https://sphereidentity.com/core/themes/stable/images/core/icons/787878/twistie-down.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/787878/twistie-down.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:25	218/218	---M--	200	added ('OK')	image/svg+xml	etag:%22da-56331daff6fbd%22	https://sphereidentity.com/core/themes/stable/images/core/icons/787878/twistie-up.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/icons/787878/twistie-up.svg	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:25	130/130	---M--	200	added ('OK')	image/png	etag:%2282-5632ffa10f4a2%22	https://sphereidentity.com/core/themes/stable/images/core/tree.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/tree.png	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
08:43:25	129/129	---M--	200	added ('OK')	image/png	etag:%2281-5632ffa047174%22	https://sphereidentity.com/core/themes/stable/images/core/tree-bottom.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/core/themes/stable/images/core/tree-bottom.png	(from https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt)
